Town,Total_Capacity_for_Children_Under_6,Total_Capacity_for_Infants_and_Toddlers_TotalCapacity,Total_Capacity_for_Preschoolers_Total Capacity,Capacity_for_Infants_and_Toddlers_CentersNonPublicSchool,Capacity_for_Preschoolers_CentersNonPublicSchool,Capacity_for_Infants_and_Toddlers_PublicSchools,Capacity_for_Preschoolers_PublicSchools,Capacity_for_Infants_and_Toddlers_LicensedFamilyChildCare,Capacity_for_Preschoolers_LicensedFamilyChildCare,Capacity_for_Infants_and_Toddlers_LicenseExemptC4KRelativeCare,Capacity_for_Preschoolers_LicenseExemptC4KRelativeCare
Andover,61,5,56,0,14,0,32,5,9,0,1
Ansonia,559,64,495,20,316,0,118,22,39,22,22
Ashford,70,8,62,0,0,0,48,6,12,2,2
Avon,746,217,529,209,310,0,197,8,22,0,0
Barkhamsted,47,6,41,0,0,0,28,6,12,0,1
Beacon Falls,53,3,50,0,30,0,9,3,11,0,0
Berlin,513,159,354,143,260,0,57,16,37,0,0
Bethany,183,77,106,72,84,0,11,3,9,2,2
Bethel,515,121,394,105,248,0,115,16,31,0,0
Bethlehem,24,8,16,7,16,0,0,0,0,1,0
Bloomfield,1021,136,885,94,366,0,440,42,79,0,0
Bolton,74,6,68,0,45,0,10,6,12,0,1
Bozrah,25,0,25,0,0,0,25,0,0,0,0
Branford,552,187,365,168,294,0,41,16,27,3,3
Bridgeport,5309,1225,4084,681,2520,0,1089,223,475,321,0
Bristol,1593,362,1231,238,719,0,323,71,136,53,53
Brookfield,550,141,409,131,355,0,40,8,14,2,0
Brooklyn,253,51,202,20,41,0,117,24,44,7,0
Burlington,253,89,164,80,130,0,20,9,14,0,0
Canaan,79,20,59,20,43,0,16,0,0,0,0
Canterbury,95,15,80,12,15,0,55,3,9,0,1
Canton,204,55,149,48,109,0,27,6,13,1,0
Chaplin,81,23,58,22,19,0,33,1,4,0,2
Cheshire,728,184,544,164,433,0,68,20,43,0,0
Chester,31,6,25,0,13,0,0,6,12,0,0
Clinton,206,36,170,28,85,0,64,6,17,2,4
Colchester,384,90,294,71,155,0,91,19,44,0,4
Colebrook,14,6,8,6,8,0,0,0,0,0,0
Columbia,267,106,161,94,111,0,26,12,24,0,0
Cornwall,26,8,18,8,18,0,0,0,0,0,0
Coventry,213,32,181,16,60,0,80,16,37,0,4
Cromwell,576,214,362,203,302,0,32,11,26,0,2
Danbury,1819,408,1411,329,1044,0,280,52,87,27,0
Darien,762,38,724,32,580,0,130,6,14,0,0
Deep River,59,2,57,0,57,0,0,0,0,2,0
Derby,231,110,121,86,54,0,30,10,23,14,14
Durham,116,43,73,42,69,0,0,1,4,0,0
East Granby,169,66,103,66,103,0,0,0,0,0,0
East Haddam,99,29,70,24,41,0,16,5,11,0,2
East Hampton,423,130,293,108,200,0,47,22,46,0,0
East Hartford,1451,326,1125,107,402,0,522,102,201,117,0
East Haven,432,96,336,31,87,0,144,39,79,26,26
East Lyme,377,144,233,136,153,0,59,4,15,4,6
East Windsor,156,33,123,20,42,0,53,13,28,0,0
Eastford,23,2,21,0,0,0,17,2,4,0,0
Easton,194,38,156,36,128,0,24,2,4,0,0
Ellington,362,92,270,69,169,0,50,23,51,0,0
Enfield,1222,387,835,316,630,0,96,49,87,22,22
Essex,148,31,117,31,60,0,55,0,2,0,0
Fairfield,1466,360,1106,328,973,0,79,29,54,3,0
Farmington,999,410,589,400,449,0,125,8,15,2,0
Franklin,61,20,41,20,20,0,21,0,0,0,0
Glastonbury,997,349,648,325,471,0,124,24,53,0,0
Goshen,18,14,4,13,4,0,0,0,0,1,0
Granby,275,70,205,59,143,0,38,11,24,0,0
Greenwich,1918,305,1613,298,1421,0,179,2,8,5,5
Griswald,47,22,25,10,8,4,7,2,4,6,6
Griswold,301,22,279,10,152,0,101,9,23,3,3
Groton,922,262,660,103,310,127,303,12,27,20,20
Guilford,474,70,404,65,364,0,36,2,4,3,0
Haddam,79,17,62,16,38,0,20,1,4,0,0
Hamden,1561,515,1046,400,735,0,187,62,124,53,0
Hampton,13,1,12,0,0,0,11,0,0,1,1
Hartford,5122,1200,3922,498,2209,0,1317,215,396,487,0
Hartland,21,2,19,0,0,0,15,2,4,0,0
Harwinton,81,36,45,32,40,0,0,4,5,0,0
Hebron,270,87,183,71,71,0,80,16,30,0,2
Kent,41,0,41,0,25,0,16,0,0,0,0
Killingly,387,57,330,32,95,0,191,18,37,7,7
Killingworth,78,33,45,26,34,0,0,6,11,1,0
Lebanon,92,7,85,0,29,0,46,7,10,0,0
Ledyard,339,99,240,80,169,0,42,15,25,4,4
Lisbon,40,3,37,0,0,0,32,1,3,2,2
Litchfield,222,43,179,38,131,0,39,3,8,2,1
Lyme,0,0,0,0,0,0,0,0,0,0,0
Madison,535,132,403,126,346,0,45,6,12,0,0
Manchester,1546,386,1160,264,783,0,208,67,114,55,55
Mansfield,403,114,289,100,151,0,108,14,28,0,2
Marlborough,107,45,62,40,38,0,10,5,12,0,2
Meriden,1588,417,1171,267,1015,0,45,61,111,89,0
Middlebury,178,60,118,58,86,0,25,2,6,0,1
Middlefield,92,13,79,4,64,0,0,9,15,0,0
Middletown,1210,346,864,262,632,0,145,44,87,40,0
Milford,1275,404,871,347,604,0,164,46,92,11,11
Monroe,418,122,296,109,224,0,41,13,28,0,3
Montville,345,152,193,133,125,0,37,13,25,6,6
Morris,9,3,6,0,0,0,0,3,6,0,0
Naugatuck,536,91,445,36,267,0,120,28,58,27,0
New Britain,1867,350,1517,114,908,0,502,55,107,181,0
New Canaan,716,30,686,27,633,0,41,3,11,0,1
New Fairfield,228,28,200,20,44,0,144,6,12,2,0
New Hartford,106,3,103,0,36,0,60,3,7,0,0
New Haven,5330,1224,4106,628,1406,0,1908,230,426,366,366
New London,591,176,415,58,235,50,87,23,48,45,45
New Milford,665,205,460,196,318,0,120,9,19,0,3
Newington,702,203,499,160,336,0,101,30,62,13,0
Newtown,698,145,553,134,513,0,16,9,22,2,2
Norfolk,42,9,33,8,12,0,17,1,4,0,0
North Branford,349,127,222,110,167,0,14,17,41,0,0
North Haven,345,61,284,36,169,0,63,25,52,0,0
North Stonington,155,53,102,51,68,0,30,2,4,0,0
Norwalk,2124,461,1663,356,1208,0,305,80,150,25,0
Norwich,935,280,655,203,244,0,338,30,73,47,0
Old Lyme,98,23,75,19,19,0,48,4,7,0,1
Old Saybrook,283,72,211,69,165,0,40,3,6,0,0
Orange,598,213,385,205,320,0,48,7,16,1,1
Oxford,62,7,55,0,25,0,19,7,11,0,0
Plainfield,427,119,308,84,94,0,154,26,51,9,9
Plainville,387,126,261,94,132,0,87,23,42,9,0
Plymouth,157,28,129,20,54,0,60,8,9,0,6
Pomfret,77,22,55,18,32,0,16,4,7,0,0
Portland,172,33,139,19,75,0,30,14,34,0,0
Preston,80,22,58,22,25,0,31,0,0,0,2
Prospect,158,54,104,42,40,0,44,10,19,2,1
Putnam,261,63,198,49,78,0,98,6,14,8,8
Redding,200,20,180,16,123,0,51,4,6,0,0
Ridgefield,922,284,638,281,572,0,60,3,6,0,0
Rocky Hill,558,148,410,123,186,0,180,23,42,2,2
Roxbury,27,13,14,13,14,0,0,0,0,0,0
Salem,93,30,63,30,45,0,16,0,1,0,1
Salisbury,85,36,49,36,49,0,0,0,0,0,0
Scotland,29,3,26,0,0,0,18,3,8,0,0
Seymour,319,84,235,59,192,0,0,20,38,5,5
Sharon,7,0,7,0,0,0,7,0,0,0,0
Shelton,1271,443,828,422,726,0,59,21,43,0,0
Sherman,27,2,25,0,0,0,22,2,3,0,0
Simsbury,582,176,406,173,341,0,51,2,14,1,0
Somers,139,25,114,21,82,0,23,2,7,2,2
South Windsor,712,231,481,189,298,0,108,40,73,2,2
Southbury,333,106,227,106,224,0,0,0,3,0,0
Southington,732,178,554,114,338,0,104,52,100,12,12
Sprague,80,9,71,5,31,0,35,2,4,2,1
Stafford,292,60,232,42,83,5,121,13,24,0,4
Stamford,4171,1010,3161,849,2754,0,188,114,219,47,0
Sterling,60,8,52,8,17,0,35,0,0,0,0
Stonington,436,107,329,95,272,0,31,8,22,4,4
Stratford,1114,219,895,102,577,0,153,78,165,39,0
Suffield,244,43,201,33,111,0,68,8,20,2,2
Thomaston,156,57,99,54,68,0,28,0,0,3,3
Thompson,160,52,108,50,104,0,0,2,4,0,0
Tolland,493,128,365,96,216,0,81,32,68,0,0
Torrington,781,176,605,110,406,0,99,35,69,31,31
Trumbull,1084,176,908,160,567,0,305,16,36,0,0
Union,9,0,9,0,0,0,9,0,0,0,0
Vernon,502,135,367,88,142,0,162,24,40,23,23
Voluntown,52,2,50,0,0,0,44,2,4,0,2
Wallingford,1365,477,888,429,655,0,157,40,76,8,0
Warren,17,9,8,9,8,0,0,0,0,0,0
Washington,104,14,90,12,88,0,0,2,2,0,0
Waterbury,3266,825,2441,387,1477,0,605,171,356,267,3
Waterford,862,57,805,42,76,0,697,15,32,0,0
Watertown,467,123,344,110,252,0,73,7,13,6,6
West Hartford,1375,409,966,336,604,35,298,37,64,1,0
West Haven,1071,178,893,57,506,0,131,121,256,0,0
Westbrook,108,34,74,34,36,0,38,0,0,0,0
Weston,119,8,111,8,85,0,25,0,0,0,1
Westport,1141,162,979,160,920,0,56,2,3,0,0
Wethersfield,550,80,470,45,283,0,141,25,36,10,10
Willington,89,37,52,37,33,0,19,0,0,0,0
Wilton,957,290,667,288,608,0,55,2,4,0,0
Winchester,171,41,130,32,118,0,0,5,12,4,0
Windham,635,110,525,39,178,0,240,36,72,35,35
Windsor,766,278,488,207,295,0,77,46,91,25,25
Windsor Locks,201,88,113,66,70,0,0,19,40,3,3
Wolcott,250,87,163,85,103,0,50,2,4,0,6
Woodbridge,272,80,192,78,168,0,20,2,4,0,0
Woodbury,150,49,101,45,95,0,0,2,4,2,2
Woodstock,120,51,69,49,38,0,27,2,4,0,0
Mashantucket,152,76,76,76,76,0,0,0,0,0,0