total population,housing units,pop_male_under_5,pop_female_under_5,median_family_income_in_the_past_12_months_in_2019_inflation-adjusted_dollars_by_family_size_total,ratio of income to poverty level - < 0.5,children under 6 ratio of income to poverty level - < 0.5,children under 6 by parent employment status - all categories,children under 6 by parent employment status - both parents - in labor force,children under 6 by parent employment status - only father - in labor force,children under 6 by parent employment status - only mother - in labor force,ratio of income to poverty level - 0.51 - 1.0,ratio of income to poverty level - 1.01 - 2.0,ratio of income to poverty level - > 2.0,children under 6 ratio of income to poverty level - 0.51 - 1.0,children under 6 ratio of income to poverty level - 1.01 - 2.0,children under 6 ratio of income to poverty level - > 2.0,town,demand_estimate,ratio_poverty,demand_estimate_2,%housing_lowerHalf_income,demand_estimate_3,children_below_200%_poverty,%all_parents_working,demand_estimate_4
6903,4365,67,44,126890.0,77,14,142,98,0,0,20,76,1805,0,0,128,Westbrook,56.0,0.02506156743444879,3.0,0.3161668839634941,36.0,14,0.6901408450704225,10.0
9007,4633,189,293,107654.0,32,46,585,312,0,99,34,227,2359,0,17,522,East Haddam,241.0,0.03253025424669701,16.0,0.2571888531142445,124.0,63,0.7025641025641025,45.0
10090,5735,163,166,101012.0,69,0,465,277,47,37,38,301,2403,0,59,406,Old Saybrook,165.0,0.04043607532210109,14.0,0.2841922695738355,94.0,59,0.7763440860215054,46.0
7221,2913,180,185,129156.0,23,0,398,164,18,68,14,58,1972,0,62,336,Durham,183.0,0.013156072566126576,5.0,0.20170336518487744,74.0,62,0.628140703517588,39.0
4480,2095,106,122,114583.0,0,0,261,140,59,0,9,63,1179,0,0,261,Deep River,114.0,0.01607142857142857,4.0,0.23381696428571427,54.0,0,0.7624521072796935,0.0
12944,6182,254,229,101429.0,52,18,594,335,60,70,80,308,3258,46,138,392,Clinton,242.0,0.033992583436341164,17.0,0.23879789864029666,116.0,202,0.7828282828282829,159.0
9322,4168,233,275,121372.0,21,10,547,428,0,80,46,159,2215,33,30,474,Portland,254.0,0.024243724522634628,13.0,0.22355717657155116,114.0,73,0.9287020109689214,68.0
8227,3366,69,96,130729.0,40,0,313,226,35,52,57,171,2161,52,0,261,Haddam,83.0,0.032575665491673754,6.0,0.20457031724808558,34.0,52,1.0,52.0
6392,2370,163,79,127331.0,45,0,256,187,15,11,11,86,1675,0,0,256,Killingworth,121.0,0.022215269086357948,6.0,0.18538798498122652,45.0,0,0.83203125,0.0
46511,21241,1382,914,92599.0,357,178,2574,1085,331,616,555,922,8526,293,348,1773,Middletown,1148.0,0.0394315323256864,91.0,0.22834383264174066,525.0,819,0.7894327894327894,647.0
4381,1948,91,91,128011.0,26,0,224,111,13,15,0,90,1110,0,29,195,Middlefield,91.0,0.026477973065510158,5.0,0.222323670394887,41.0,29,0.6205357142857143,18.0
6168,2636,252,57,106585.0,42,0,376,136,36,102,79,50,1543,0,21,355,Beacon Falls,155.0,0.02772373540856031,9.0,0.2136835278858625,67.0,21,0.7287234042553191,16.0
54763,22397,1431,1447,76651.0,346,440,3342,1198,275,948,675,1718,9357,314,517,2104,West Haven,1439.0,0.05001552142870186,144.0,0.20449025802092655,589.0,1271,0.7244165170556554,921.0
5513,2075,121,174,146532.0,3,0,332,262,0,42,23,66,1556,27,0,305,Bethany,148.0,0.016687828768365682,5.0,0.18819154725194995,56.0,27,0.9156626506024096,25.0
28742,12052,580,594,84981.0,216,68,1297,681,145,218,257,721,5744,193,208,913,East Haven,587.0,0.04154199429406444,49.0,0.20965833971191983,247.0,469,0.8049344641480339,378.0
22216,9249,588,369,134910.0,45,10,1203,812,23,57,58,434,5659,0,104,1089,Guilford,479.0,0.024171768095066617,24.0,0.20816078501980553,200.0,114,0.741479634247714,85.0
18113,8204,362,367,139214.0,46,0,866,496,33,82,52,149,4863,0,15,851,Madison,365.0,0.0136366145862088,10.0,0.22646717826975102,166.0,15,0.7055427251732102,11.0
7739,3046,121,194,139545.0,16,0,371,313,0,11,25,59,1992,0,0,371,Middlebury,158.0,0.01292156609381057,5.0,0.196795451608735,62.0,0,0.8733153638814016,0.0
16615,6329,365,517,109643.0,132,0,1020,522,29,69,33,266,4081,40,158,822,Wolcott,441.0,0.02594041528739091,23.0,0.19046042732470658,168.0,198,0.6078431372549019,121.0
44596,19934,884,859,103955.0,387,160,2061,1032,149,272,172,601,10444,92,141,1695,Wallingford,872.0,0.02601130146201453,46.0,0.2234953807516369,390.0,393,0.7049975739932072,278.0
8827,3107,313,195,166546.0,33,28,577,318,98,25,0,68,2252,0,15,534,Woodbridge,254.0,0.011442166081341338,6.0,0.17599410898379972,90.0,43,0.7642980935875217,33.0
18802,8728,323,330,75496.0,329,105,1006,550,0,217,260,728,3274,182,112,607,Ansonia,327.0,0.07004573981491331,46.0,0.23210296776938624,152.0,399,0.7624254473161034,305.0
13934,5194,408,431,140464.0,82,0,988,544,114,73,12,175,3580,0,41,977,Orange,420.0,0.019305296397301566,17.0,0.1863786421702311,157.0,41,0.7398785425101214,31.0
13086,4902,339,330,124355.0,32,0,738,609,0,0,29,247,3380,0,33,705,Oxford,335.0,0.02353660400427938,16.0,0.18729940394314534,126.0,33,0.8252032520325203,28.0
28020,13632,507,621,100357.0,83,61,1412,852,107,180,232,639,6406,58,302,991,Branford,564.0,0.03404710920770878,39.0,0.24325481798715204,275.0,421,0.806657223796034,340.0
12485,5837,457,210,68775.0,101,39,780,158,22,257,174,458,2189,162,376,263,Derby,334.0,0.05871045254305166,40.0,0.23376051261513817,156.0,577,0.5602564102564103,324.0
130331,55682,4001,4215,49929.0,2294,1810,9362,2463,610,3470,3087,5581,14333,1946,2607,3138,New Haven,4108.0,0.08410892266613469,692.0,0.21361763509832657,1756.0,6363,0.6988891262550737,4448.0
17619,8261,365,404,98062.0,103,0,883,420,18,192,115,407,3813,42,176,665,Plainville,385.0,0.035473068846132015,28.0,0.23443441739031728,181.0,218,0.7134767836919592,156.0
24799,9971,591,554,151424.0,39,0,1297,906,85,40,64,262,6442,14,107,1213,Simsbury,573.0,0.014718335416750675,17.0,0.20103633211016572,231.0,121,0.79491133384734,97.0
63063,26437,1981,1341,138365.0,244,131,3813,2195,71,503,337,947,14016,72,270,3365,West Hartford,1661.0,0.024229738515452803,81.0,0.20960785246499533,697.0,473,0.7261998426435877,344.0
28859,11371,731,663,105415.0,15,6,1541,1073,47,151,136,484,6600,23,237,1315,Windsor,697.0,0.022003534426002287,31.0,0.19700959839218268,275.0,266,0.8247890979883192,220.0
11445,5277,257,425,96000.0,68,77,788,492,47,200,63,224,2661,0,93,618,East Windsor,341.0,0.031017911751856708,22.0,0.23053735255570118,158.0,170,0.9378172588832487,160.0
72767,31800,2465,2567,53648.0,1353,1072,5433,1114,648,1898,1586,3546,10344,792,1496,2301,New Britain,2516.0,0.08912006816276609,449.0,0.21850564129344346,1100.0,3360,0.6736609607951408,2264.0
60218,26546,1321,1631,85397.0,294,139,3338,2012,214,532,789,1814,12096,388,616,2318,Bristol,1476.0,0.04810853897505729,143.0,0.2204158225115414,651.0,1143,0.8262432594367884,945.0
43781,18318,870,1101,113553.0,141,98,2429,1622,79,157,157,770,10972,50,179,2127,Southington,986.0,0.024394143578264544,49.0,0.20920033804618443,413.0,327,0.7649238369699465,251.0
5304,2156,101,56,107850.0,0,0,191,104,0,32,22,32,1234,0,0,191,East Granby,79.0,0.010180995475113122,2.0,0.20324283559577677,32.0,0,0.7120418848167539,0.0
18312,7384,593,519,168221.0,34,0,1297,689,0,123,126,242,4717,10,18,1269,Avon,556.0,0.021952817824377458,25.0,0.2016164263870686,225.0,28,0.6260601387818041,18.0
20484,8584,278,380,119071.0,51,25,857,577,62,58,91,302,5493,71,82,726,Berlin,329.0,0.021675454012888107,15.0,0.20952938879125171,138.0,178,0.8133022170361727,145.0
9659,3688,197,175,139120.0,26,0,499,366,4,41,13,188,2492,28,18,453,Burlington,186.0,0.023501397660213273,9.0,0.1909100320944197,72.0,46,0.8236472945891784,38.0
1982,855,19,42,109861.0,4,0,67,44,6,6,3,32,476,4,0,63,Hartland,31.0,0.019677093844601413,2.0,0.2156912209889001,14.0,4,0.835820895522388,4.0
50272,20976,2073,1305,70319.0,449,243,3682,1167,515,1301,798,2263,8705,460,1259,1760,East Hartford,1689.0,0.06982017823042648,236.0,0.20862507956715468,705.0,1962,0.8101575230852798,1590.0
123088,54753,3799,3836,42536.0,2845,1869,8916,1065,978,4368,3321,6793,13128,1678,3147,2554,Hartford,3818.0,0.10528239958403744,804.0,0.22241404523592875,1699.0,6694,0.7190444145356663,4814.0
21022,9300,352,355,92912.0,137,0,774,405,12,230,138,446,4837,53,229,509,Bloomfield,354.0,0.034297402720959,25.0,0.22119684140424317,157.0,282,0.8359173126614987,236.0
34564,13987,825,680,146328.0,89,58,1934,1232,78,125,69,335,8893,0,25,1851,Glastonbury,753.0,0.014263395440342552,22.0,0.20233479921305406,305.0,83,0.7419855222337125,62.0
6368,2372,140,279,129410.0,0,0,524,444,0,19,15,97,1745,0,238,286,Marlborough,210.0,0.017587939698492462,8.0,0.18624371859296482,79.0,238,0.8835877862595419,211.0
20168,9251,408,399,107654.0,66,17,1071,572,32,83,53,436,4824,0,113,974,Rocky Hill,404.0,0.027518841729472433,23.0,0.22934847282824275,186.0,130,0.6414565826330533,84.0
2489,1058,60,47,90735.0,21,0,134,118,0,12,20,78,545,8,43,83,Chaplin,54.0,0.047810365608678185,6.0,0.2125351546805946,23.0,51,0.9701492537313433,50.0
15105,6154,536,452,79007.0,138,79,1071,478,46,265,129,477,3162,0,391,601,Plainfield,494.0,0.04925521350546177,49.0,0.20370738166170144,202.0,470,0.7366946778711485,347.0
9351,4152,348,133,93396.0,57,35,545,297,64,97,61,196,2324,10,90,438,Thompson,241.0,0.033579296331943106,17.0,0.2220083413538659,107.0,135,0.8403669724770643,114.0
7836,3677,107,233,103668.0,19,0,397,196,39,35,42,56,2256,20,44,333,Woodstock,170.0,0.014931087289433384,6.0,0.23462225625319041,80.0,64,0.6801007556675063,44.0
1569,678,25,27,95781.0,0,0,60,46,0,8,7,37,389,4,0,56,Scotland,26.0,0.02804333970681963,2.0,0.21606118546845124,12.0,4,0.9,4.0
4186,1689,23,0,127530.0,8,0,44,44,0,0,28,67,982,0,0,44,Pomfret,12.0,0.02460582895365504,1.0,0.2017439082656474,5.0,0,1.0,0.0
24655,9447,518,632,48527.0,248,54,1473,328,110,551,662,1201,2767,378,448,600,Windham,575.0,0.08562157777327115,99.0,0.19158385722977084,221.0,880,0.6714188730482009,591.0
4236,1934,74,219,92500.0,45,8,305,60,124,46,28,100,857,0,157,153,Ashford,147.0,0.04084041548630784,12.0,0.22828139754485363,67.0,165,0.7540983606557377,125.0
8238,3096,126,213,86027.0,41,74,383,96,108,140,30,180,1974,26,63,220,Brooklyn,170.0,0.030468560330177228,11.0,0.18790968681718864,64.0,163,0.8981723237597912,147.0
17231,8102,657,506,83286.0,117,97,1358,696,56,336,309,372,3527,161,136,964,Killingly,582.0,0.04631187975161047,54.0,0.23509952991701005,274.0,394,0.801178203240059,316.0
9361,4483,129,76,75714.0,70,0,271,192,39,17,89,339,1920,53,6,216,Putnam,103.0,0.05319944450379233,11.0,0.23945091336395685,50.0,59,0.915129151291513,54.0
4234,2027,29,73,102206.0,0,0,102,66,0,0,18,48,988,0,0,102,Chester,51.0,0.015588096362777516,2.0,0.23937175247992443,25.0,0,0.6470588235294118,0.0
6604,3494,60,51,123800.0,13,31,116,65,0,0,0,236,1589,0,0,85,Essex,56.0,0.03770442156268928,5.0,0.2645366444579043,30.0,31,0.5603448275862069,18.0
12827,5537,266,249,114615.0,118,39,785,560,16,39,10,199,3129,0,22,731,East Hampton,258.0,0.02549310049115148,14.0,0.21583378810321976,112.0,61,0.7834394904458599,48.0
13910,6253,308,309,117722.0,7,0,750,588,23,35,52,369,3068,0,48,718,Cromwell,309.0,0.03076923076923077,19.0,0.22476635514018692,139.0,48,0.8613333333333333,42.0
3203,1357,85,73,122500.0,0,0,186,74,30,0,0,51,837,0,30,165,Andover,79.0,0.015922572588198562,3.0,0.21183265688417108,34.0,30,0.5591397849462365,17.0
12433,4999,182,339,118373.0,16,0,754,485,0,69,69,145,3297,55,93,606,Coventry,261.0,0.018499155473337088,10.0,0.20103756132872194,105.0,148,0.7347480106100795,109.0
4911,1952,96,32,127292.0,18,10,143,105,10,0,26,24,1252,0,0,141,Bolton,64.0,0.013846467114640602,2.0,0.198737527998371,26.0,10,0.8041958041958042,9.0
14713,5473,445,269,142626.0,44,0,966,842,0,6,33,154,3931,0,47,919,Tolland,357.0,0.015700401005913137,12.0,0.18599197988173724,133.0,47,0.8778467908902692,42.0
11005,3725,214,227,125991.0,10,0,555,450,12,25,12,107,2645,0,24,531,Somers,221.0,0.011721944570649704,6.0,0.1692412539754657,75.0,24,0.8774774774774775,22.0
29232,14072,899,956,85694.0,285,194,2122,845,136,722,107,1057,5666,68,627,1240,Vernon,928.0,0.04956896551724138,92.0,0.2406951286261631,447.0,889,0.8025447690857681,714.0
894,408,18,9,103125.0,0,0,43,31,0,0,9,9,273,8,0,35,Union,14.0,0.020134228187919462,1.0,0.22818791946308725,7.0,8,0.7209302325581395,6.0
5417,2315,124,107,114667.0,0,0,325,159,15,52,0,157,1615,0,0,325,Columbia,116.0,0.0289828318257338,7.0,0.2136791582056489,50.0,0,0.6953846153846154,0.0
16170,7418,402,375,122471.0,17,19,924,587,50,0,133,183,3799,0,60,845,Ellington,389.0,0.020593692022263452,17.0,0.22937538651824366,179.0,79,0.6893939393939394,55.0
25799,6323,163,144,113068.0,25,14,412,128,0,46,119,336,2203,33,116,269,Mansfield,154.0,0.018605372301251987,6.0,0.12254350943835032,38.0,163,0.4223300970873786,69.0
11881,5113,255,181,96698.0,43,36,484,210,0,93,95,197,2644,7,106,335,Stafford,218.0,0.02819627977442976,13.0,0.2151754902785961,94.0,149,0.6260330578512396,94.0
5893,2807,75,112,115511.0,0,0,228,108,0,36,30,36,1265,13,0,215,Willington,94.0,0.01119972849143051,3.0,0.23816392329882913,45.0,13,0.631578947368421,9.0
62587,24560,1725,1766,204729.0,294,114,4217,2045,94,234,451,945,14523,50,406,3719,Greenwich,1746.0,0.02700241264160289,95.0,0.19620688002300798,685.0,570,0.5627223144415461,321.0
9176,3959,267,264,158958.0,29,0,566,301,0,21,32,168,2412,0,0,566,Redding,266.0,0.02495640802092415,14.0,0.2157258064516129,115.0,0,0.568904593639576,0.0
20276,7655,619,584,248162.0,37,0,1545,635,81,64,77,231,5092,0,71,1474,New Canaan,602.0,0.017015190372854608,21.0,0.18876997435391596,228.0,71,0.5048543689320388,36.0
13955,5889,470,282,134960.0,35,0,795,455,10,19,69,194,3585,36,5,754,New Fairfield,376.0,0.02135435327839484,17.0,0.2109996417054819,159.0,41,0.6088050314465409,25.0
27822,10506,680,452,151643.0,46,0,1411,871,43,99,53,240,7371,11,45,1377,Newtown,566.0,0.012184602113435411,14.0,0.18880741858960534,214.0,56,0.7179305457122608,41.0
10287,3882,237,217,242083.0,22,0,661,427,0,11,22,134,2748,0,12,649,Weston,227.0,0.017303392631476622,8.0,0.18868474773986585,86.0,12,0.6626323751891074,8.0
7543,2870,92,159,172786.0,31,0,272,176,0,15,8,67,2110,0,0,272,Easton,126.0,0.014052764152194088,4.0,0.19024260904149543,48.0,0,0.7022058823529411,0.0
145639,58552,4816,4439,53271.0,2549,1989,10408,2557,1033,4137,3555,7224,18738,1806,3509,3481,Bridgeport,4628.0,0.09151394887358469,847.0,0.20101758457556013,1861.0,7304,0.7424096848578017,5423.0
